state,district,school_name,School Management,Address,Class,Edu. District,Edu. Block,LGD Block,LGD Panchayat,LGD Village,LGD Ward,class,School Type,School Category,School Location,School Type,State,Urban Local Body
GUJARAT,AHMEDABAD,ADINATHNAGAR PUBLIC SCHOOL,10-Municipal School Board (MSB),Opp- Pushpak Residency,1 To 6,Ahmedabad,Amc,NA,,,"Amraivadi, Ahmedabad (M.Corp.) Ward No. 39",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADITYA ENGLISH SCHOOL,5-Pvt. Unaided (Recognized),"Vyashvadi,naroda, Ahmedabad",1 To 8,Ahmedabad,Amc,NA,,,"Naroda, Ahmedabad (M.Corp.) Ward No. 12",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADITYA INTERNATIONAL SCHOOL,5-Pvt. Unaided (Recognized),"OPP 108 HANSPURA,NARODA,AHMEDABAD EMERGENCY CENTRE,HA",,Ahmedabad,Dascroi,NA,NA,NA,NA,9 To 12,3-Co-educational,10-Secondary with Higher Secondary,2-Urban,,Gujarat,NA
GUJARAT,AHMEDABAD,ADITYA INTERNATIONAL SCHOOL(ENG.MED),5-Pvt. Unaided (Recognized),"OPP 108 EMERGENCY CENTRE,HANSPURA,DASKROI,AHMEDABAD",,Ahmedabad,Amc,NA,,,"Maktampura, Ahmedabad (M.Corp.) Ward No. 34",1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADITYA INTERNATIONAL SCHOOL(GUJ.MED),5-Pvt. Unaided (Recognized),"108 EMERGENCY CENTRE,HANSPURA,DASKROI,AHMEDABAD",,Ahmedabad,Amc,NA,,,"Maktampura, Ahmedabad (M.Corp.) Ward No. 34",1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADULT TRG.CENTER FOR THE BLIND,5-Pvt. Unaided (Recognized),ADULT TRG.CENTER FOR THE BLIND,1 To 8,Ahmedabad,Amc,NA,,,"Paldi, Ahmedabad (M.Corp.) Ward No. 30",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADVAL PRIMARY SCHOOL,3-Local Body,At- Adval Ta- Dhandhuka Dis- Ahmedabad,1 To 8,Ahmedabad,Dhandhuka,Dhandhuka,Adval,Adval,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,AHMEDABAD,AES AG HIGHER SECONDARY SCHOOL,4-Government Aided,"nr. commrse six road ,navrangpura, ahmedabad",9 To 12,Ahmedabad,Amc,NA,,,"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",,,10-Secondary with Higher Secondary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,A.E.S.-A.G.SCHOOL (ENGLISH MEDIUM),5-Pvt. Unaided (Recognized),"OPP. DADA SAHEB FLAT, UNIVERSITY ROAD, NAVRANGPURA, AHMEDABAD 380009",,Ahmedabad,Amc,NA,,,"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",1 To 9,3-Co-educational,6-Pr. Up Pr. and Secondary Only,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,AFRIN SECONDARY AND HIGH SCHOOL,5-Pvt. Unaided (Recognized),ANSARNAGAR GITAGAURI CINEMA PASE RAKHIYAL ROAD AHMEDABAD,,Ahmedabad,Amc,NA,,,"Gomtipur, Ahmedabad (M.Corp.) Ward No. 38",1 To 12,3-Co-educational,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
